System,Task,Parallel,N,Time (best of 3)
12" MB,make_data,No,1000,1.8
12" MB,make_data,No,2000,3.8
12" MB,make_data,No,5000,11.5
12" MB,make_data,Yes,1000,2.7
12" MB,make_data,Yes,2000,5.5
12" MB,make_data,Yes,5000,14.2
12" MB,dask_graph,No,1000,0.06
12" MB,dask_graph,No,2000,0.12
12" MB,dask_graph,No,5000,0.34
12" MB,dask_graph,No,10000,0.64
12" MB,dask_graph,Yes,1000,0.49
12" MB,dask_graph,Yes,2000,0.96
12" MB,dask_graph,Yes,5000,2.3
12" MB,dask_graph,Yes,10000,4.6
15" MB,make_data,No,1000,9.6
15" MB,make_data,No,2000,15.3
15" MB,make_data,No,5000,37.4
15" MB,make_data,Yes,1000,2.3
15" MB,make_data,Yes,2000,4.8
15" MB,make_data,Yes,5000,11.6
15" MB,dask_graph,No,1000,0.07
15" MB,dask_graph,No,2000,0.13
15" MB,dask_graph,No,5000,0.33
15" MB,dask_graph,No,10000,0.62
15" MB,dask_graph,Yes,1000,0.25
15" MB,dask_graph,Yes,2000,0.48
15" MB,dask_graph,Yes,5000,1.2
15" MB,dask_graph,Yes,10000,2.4
15" MB,actual_task,Yes,85742,216
15" MB,actual_task,No,85742,413
15" MB,actual_task,Yes,1000,1.9
15" MB,actual_task,No,1000,3.2
15" MB,actual_task,Yes,10000,17.7
15" MB,actual_task,No,10000,33.0
15" MB,actual_task,No,15000,51
15" MB,actual_task,Yes,15000,25
